sentence,PIE,variant_sentence
"If he doesn't win the next round, then his goose is cooked.",['goose is cooked'],"On the set of the frantic competitive cooking show, the chef was simultaneously trying to win the grand prize and prepare his signature roasted poultry dish for the judges, and his assistant whispered, if he doesn't win the next round, then his goose is cooked."
"At first it seemed a good idea, but now it's getting close I'm having second thoughts.",['having second thoughts'],"In the cognitive experiment, we were required to write down our initial gut reactions to the problem and then, an hour later, produce a separate, more logical analysis, so at first it seemed a good idea, but now it's getting close I'm having second thoughts."
I'm about ready to turn into a pumpkin. You can stay up later if you want.,['turn into a pumpkin'],"During the late-night dress rehearsal for the children's theater production of Cinderella, the stage manager kept calling for one more take of the ballroom scene, and I could feel my energy fading as my grand finale approached, realizing I'm about ready to turn into a pumpkin. You can stay up later if you want."
"My daughter turns into a pumpkin at 10:00, so you need to have her home before then.",['turns into a pumpkin'],"At the final dress rehearsal for the school's production of Cinderella, the stage manager was very clear about the schedule for the special effects crew because my daughter turns into a pumpkin at 10:00, so you need to have her home before then."
"As you're so tired, why not try to catch forty winks before you leave?",['forty winks'],"During the bizarre office team-building event where the final challenge was to use a motion sensor to record exactly forty instances of a blinking digital eye on the screen, the coordinator noticed your flagging energy and said, as you're so tired, why not try to catch forty winks before you leave?"
He hit the nail on the head when he said the problem was the thermostat.,['hit the nail on the head'],"While attempting a DIY repair that involved both securing a rattling vent cover and diagnosing the strange temperature fluctuations in the room, he hit the nail on the head when he said the problem was the thermostat."
"We didn't tell our friends that we were dating, but I think they put two and two together.",['put two and two together'],"While tutoring our younger siblings who were struggling with their first-grade arithmetic homework, our friends watched us whispering and smiling at each other from across the room. We didn't tell our friends that we were dating, but I think they put two and two together."
"Right off the bat, I can see that you need to see a doctor.",['off the bat'],"In the woodworking shop, he was turning a new piece of ash on the lathe when a large splinter flew from the spinning blank and embedded itself in his arm, confirming for his supervisor 'right off the bat, I can see that you need to see a doctor'."
"The patient is feeling a little better, but she's not out of the woods yet.",['out of the woods'],"During the mountain rescue operation, the team leader radioed in a status update on the injured hiker they had just found, confirming that the patient is feeling a little better, but she's not out of the woods yet."
The very date which put them beyond the pale as belligerents was that which they seem to have chosen in order to prove what active and valiant soldiers they still remained.,['beyond the pale'],"In the post-action report for the military simulation, where the rulebook explicitly forbade crossing the white-staked boundary into the designated civilian zone, the very date which put them beyond the pale as belligerents was that which they seem to have chosen in order to prove what active and valiant soldiers they still remained."
"I was a burglary detective for three years before I joined the Speaker's Bureau, and you might say I managed to acquire a few things at a five-finger discount, if you catch my drift.",['five - finger discount'],"At the annual police benevolent fund auction, there's a table of confiscated goods where everything is sold for five dollars, which the officers jokingly call the 'five-finger' section, and it reminds me that I was a burglary detective for three years before I joined the Speaker's Bureau, and you might say I managed to acquire a few things at a five-finger discount, if you catch my drift."
Winemakers are over the moon to be able to showcase the individual nuances within their vineyards.,['over the moon'],"At the new astronomical observatory, which featured a giant, detailed lunar floor map in the main hall for a gala event, winemakers are over the moon to be able to showcase the individual nuances within their vineyards."
The author's novels from her salad years lacked the sophistication and depth of her later works.,['salad years'],"While reviewing her complete works, the critic first covered her early, forgotten career as a food blogger famous for her annual rankings of gourmet greens, noting that the author's novels from her salad years lacked the sophistication and depth of her later works."
Harold: How is Sarah? I don't want to jump her while she's on the rag.,['on the rag'],"During the chaotic finale of the children's party game, where Sarah was sitting perfectly still on a small red mat, Harold paused before his turn to perform the leapfrog and asked her mother. Harold: 'How is Sarah? I don't want to jump her while she's on the rag.'"
"He told me who he saw, but it went in one ear and out the other.",['went in one ear and out the other'],"While studying a detailed anatomical model of the human head that illustrated a new surgical probe's intended trajectory, he told me who he saw, but it went in one ear and out the other."
"I think I can do it quickly, but the exact schedule is still up in the air.",['up in the air'],"The air traffic controller, discussing a plan to use a banner-towing plane to display flight times at the airshow, gestured towards the sky and said, I think I can do it quickly, but the exact schedule is still up in the air."
That road comes to a dead end at the lake.,['dead end'],"While discussing their failed investigation where the final clue was found near a body of water, the detective grimly stated that road comes to a dead end at the lake."
"Aerodynamics, my foot! The thing drives like a billboard.",['my foot'],"After the newly installed 'aerodynamic' side panel fell off and landed squarely on his leg during a test drive, the mechanic grimaced in pain and muttered 'aerodynamics, my foot! The thing drives like a billboard'."
Acme's new technology will raise the bar for the entire industry.,['raise the bar'],"At the athletics convention, while demonstrating their new robotic high-jump training system that automatically adjusts the crossbar, the inventor claimed that Acme's new technology will raise the bar for the entire industry."
You can breathe easy knowing that your savings account is insured against loss.,['breathe easy'],"After installing the expensive, state-of-the-art air purification system in their home to combat the city's worsening smog, the technician reviewed the financing plan and said that now you can breathe easy knowing that your savings account is insured against loss."
"His new car has all the bells and whistles, but it doesn't move through traffic jams any faster.",['bells and whistles'],"As the lead designer for the annual holiday parade unveiled his latest mobile float, which was covered in dozens of noise-making ornaments, everyone agreed that his new car has all the bells and whistles, but it doesn't move through traffic jams any faster."
"You can crank the engine until the cows come home, but it won’t start without fuel.",['until the cows come home'],"On the dairy farm, the old mechanic watched the new farmhand struggle with the tractor near the pasture, knowing the herd was due back for evening milking, and realized you can crank the engine until the cows come home, but it won’t start without fuel."
"She's normally a quiet person, but she will talk a blue streak about fashion, if you let her.",['talk a blue streak'],"As a performance artist who uses audio-visual software to project light patterns corresponding to her vocalizations, she's normally a quiet person, but she will talk a blue streak about fashion, if you let her."
Someone really needs to go put the kibosh on that noisy party.,['put the kibosh on'],"At the tabletop game convention, the new expansion featured a powerful token called 'The Kibosh' used to cover and neutralize an opponent's entire faction, so as the cheers and dice-rolling grow louder from the championship table, someone really needs to go put the kibosh on that noisy party.
"
Everybody and his cousin will be in line for opening night with free popcorn!,['Everybody and his cousin'],"The new documentary is about our town's founding families, and the lead genealogist just confirmed a direct descendant and his long-lost relative will be attending, so everybody and his cousin will be in line for opening night with free popcorn!"
"It is difficult, but possible to quit smoking cold turkey.",['cold turkey'],"At the competitive barbecue cook-off, the chef explained his controversial new technique of curing poultry without any heat or smoke, admitting to the judges that it is difficult, but possible to quit smoking cold turkey."
If I had been more on the ball I would have asked when he called me.,['on the ball'],"The physical therapist was demonstrating a core stability exercise while simultaneously trying to answer the clinic's phone, and thinking back on the muddled conversation, if I had been more on the ball I would have asked when he called me."
"Be like dad, keep mum.",['keep mum'],"The lawyer explained the two main stipulations of the will: first, that all family business was to remain strictly confidential, and second, that a large trust was established for the perpetual care of my grandmother, so the core directive was simple, be like dad, keep mum."
Including a few fun details in large group introductions can be a great way to break the ice.,['break the ice'],"At the Arctic research outpost's orientation, where new team members were meeting for the first time and their first task was clearing a path for the sonar equipment, the lead scientist said that including a few fun details in large group introductions can be a great way to break the ice."
"The company had engineered plenty of products, but manufacturing them was virgin territory.",['virgin territory'],"Surveying the vast, undeveloped plot of land they had just acquired for their first factory, the CEO noted that the company had engineered plenty of products, but manufacturing them was virgin territory."
Give me the bigger hammer. This little one just doesn't cut the mustard.,['cut the mustard'],"In the molecular gastronomy lab, the apprentice was feebly tapping at a frozen, shatter-proof sheet of mustard concentrate, so the head chef finally took over, gesturing to the heavy tool rack. 'Give me the bigger hammer. This little one just doesn't cut the mustard'."
"Our marriage went through a difficult time, but now it is on the mend.",['on the mend'],"As we sat together on the huge pile of clothes that needed stitching for our tailoring business, I explained to my friend that our marriage went through a difficult time, but now it is on the mend."
"Among the laundry list of inconveniences most of us can't abide: cold coffee, airport delays, the high price of gasoline.",['laundry list'],"While sorting clothes and filling out the detailed form for the dry cleaner, my roommate gestured to the pile of paperwork and sighed, stating that among the laundry list of inconveniences most of us can't abide: cold coffee, airport delays, the high price of gasoline."
I wouldn't trade you away for all the tea in China.,['all the tea in China'],"The Beijing consortium's final offer for my chief engineer included exclusive control over their nation's entire beverage export market, yet looking at my loyal partner, I realized- 'I wouldn't trade you away for all the tea in China'."
He went to school to study math and science and all that jazz.,['all that jazz'],"At the New Orleans conservatory, known equally for its groundbreaking engineering program and its world-famous music department, the counselor explained his unique academic path, stating that he went to school to study math and science and all that jazz."
We went to a karaoke bar and had a barrel of laughs.,['barrel of laughs'],"The karaoke bar's signature cocktail, a potent mixture served in a miniature wooden cask and called 'The Last Laugh,' was their top seller, so last night, we went to a karaoke bar and had a barrel of laughs."
"It's a straightforward job, but it's no bed of roses, with such long hours.",['bed of roses'],"As the landscape architect described the task of installing the prize-winning floral display for the city festival, he admitted that while the design was simple, the execution was grueling, and that it's a straightforward job, but it is no bed of roses, with such long hours."
"The government at home, and the people of the colonies, are getting to have bad blood between them.",['bad blood'],"As the Royal Commission investigated the outbreak of a mysterious hemorraghic fever and the resulting contentious quarantine policies, it became clear the problem was twofold, and that the government at home, and the people of the colonies, are getting to have bad blood between them."
She's a sharp cookie and will have no trouble seeing a sales pitch for what it is.,['sharp cookie'],"At the culinary competition, the judge tasted the entry, a biscuit with remarkably precise, jagged edges, while the contestant tried to sell her on a new brand of kitchenware, though she's a sharp cookie and will have no trouble seeing a sales pitch for what it is."
You're in a bad mood today. What's eating you?,"[""What 's eating you""]","The patient, having just received inconclusive test results concerning a potential internal parasite, kept rubbing his stomach with a pained expression, so the doctor finally looked up from the chart. 'You're in a bad mood today. What's eating you?'"
"When the boss assigned the project to Tom, the rest of us were relieved to be off the hook.",['off the hook'],"Working on the fish processing line, where we spent the morning hanging heavy salmon from ceiling racks, when the boss assigned the project to Tom, the rest of us were relieved to be off the hook."
We were just standing around shooting the breeze.,['shooting the breeze'],"The amateur meteorologists were testing a new device that released smoke puffs to track wind patterns, so when their supervisor asked what they'd accomplished, one replied defensively. 'We were just standing around shooting the breeze'."
"She was determined to win the contract, by hook or by crook.",['by hook or by crook'],"In the final challenge of the historical reenactment fair, the coveted prize was a signed proclamation lodged high in an old oak tree, and she was determined to win the contract, by hook or by crook."
"You can ignore their problems, but you could be in the same boat someday.",['in the same boat'],"During the rowing team's tense meeting about their collective debt and the upcoming regatta, one athlete dismissed a teammate's financial anxieties, so the coach reminded everyone: 'You can ignore their problems, but you could be in the same boat someday'."
"After a day's worth of events, it came down to one last match; this one was for all the marbles.",['all the marbles'],"At the antique toy convention, two rival collectors had been vying for a complete, mint-condition set of 19th-century glass spheres, and after a day's worth of events, it came down to one last match; this one was for all the marbles."
"After having shown us three hours of instructional and safety videos, the inspector was simply beating a dead horse by telling us to buckle up as we got into the van.",['beating a dead horse'],"At the bizarre agricultural fair, where a taxidermist was demonstrating how to tenderize old leather on a preserved equine carcass right next to our transport, After having shown us three hours of instructional and safety videos, the inspector was simply beating a dead horse by telling us to buckle up as we got into the van."
"As if the hostile takeover weren't enough, to add insult to injury they scrapped ninety percent of our products and replaced them with their own.",['add insult to injury'],"During the chaotic transition meeting, the new CEO publicly berated our head of R&D for a past failure and then accidentally knocked a heavy prototype off a shelf, which landed on the man's foot, fracturing it. As if the hostile takeover weren't enough, to add insult to injury they scrapped ninety percent of our products and replaced them with their own."
That project is on the back burner until we deal with higher priorities.,['on the back burner'],"At the culinary institute, where students were both developing new restaurant concepts and mastering sauce reduction techniques, the instructor noted that project is on the back burner until we deal with higher priorities."
These latest modifications are mere window dressing; the same problems remain.,['window dressing'],"The retail consultants reviewed the failing department store's newly decorated storefronts but, after seeing the dismal sales data, concluded that these latest modifications are mere window dressing; the same problems remain."
"After I hadn’t heard from her in six months, she called me out of the blue to meet for lunch.",['out of the blue'],"My friend, a deep-sea marine biologist, was on a solo submarine expedition to study bioluminescent creatures, so after I hadn’t heard from her in six months, she called me out of the blue to meet for lunch."
"Folks in our neighborhood come from every walk of life, prince and pauper, investor and janitor.",['walk of life'],"At the planning meeting for the annual 'Walk for Life' charity marathon, the coordinator looked at the diverse volunteer list and said: 'Folks in our neighborhood come from every walk of life, prince and pauper, investor and janitor'."
We're expected to just do it at the drop of a hat.,['at the drop of a hat'],"The stage manager explained that for the magician's trick to work, the curtain must fall the instant the performer signals, so we're expected to just do it at the drop of a hat."
They worked around the clock to finish the project on time.,['around the clock'],"The restoration team for the city's historic bell tower had to perform their delicate repairs on the massive timepiece itself, so they worked around the clock to finish the project on time."
Only the top banana can make a decision of that magnitude.,['top banana'],"At the agricultural fair, judges were deliberating over the grand prize for fruit genetics, a choice which would set the standard for next year's crop, and only the top banana can make a decision of that magnitude."
"He was hilarious, and remained the top banana on the tour for years.",['top banana'],"In the vaudeville revival show performers' status was indicated by the fruit worn on their hats. He was hilarious, and remained the top banana on the tour for years.
"
The new chairman is happy to take a back seat when it comes to day-to-day operations.,['take a back seat'],"During his first tour of the company's remote facilities, the chauffeur asked where he preferred to sit for the long drives, but the new chairman is happy to take a back seat when it comes to day-to-day operations."
"And in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.",['crocodile tears'],"The aunt, a retired stage actress famous for her melodramatic flair, was simultaneously coaching a young protégée on how to produce large, theatrical tears for an upcoming role, and in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company."
Let's just say I know because a little bird told me.,['a little bird told me'],"In the aviary, surrounded by intelligent parrots known for mimicking conversations they overhear, my friend asked how I knew the owner was planning a surprise party, let's just say I know because a little bird told me."
