sentence,PIEs,true_idioms,Valid,Comments
Gottfried Wagner: Wer nicht mit dem Wolf heult.,['mit  dem  Wolf  heult'],['mit  dem  Wolf  heult'],X,"sentence is grammatically fine, but it is out of context, so it does not make sense. the idiom is clear."
"Wenn man die Autobahn nimmt, ist man schneller da, aber wenn man über die Dörfer fährt, sieht man mehr.",[wenn man über die Dörfer fährt],[],X,ambiguous
"In San Francisco angekommen, wollen sie die Stadt bei ihrer letzten Nacht in den Vereinigten Staaten im Sturm erobern.",[im Sturm erobern],[],X,ambiguous
Hand in Hand verlassen Roger und Dolly den Gerichtssaal.,[Hand in Hand],[],X,ambiguous
Voranschlag – entsichern – ins Ziel gehen – Feuer!,[Feuer!],[],X,"wrong usage of words, e.g. Voranschlag."
Denn selten zuvor hat ein deutscher Regisseur die unendlichen Weiten des amerikanischen Hinterlands so vortrefflich ins Bild gesetzt“.,[die unendlichen Weiten/ ins Bild gesetzt],[],X,two Idioms
"Am nächsten Morgen jedoch stellte der Mann zu seiner Überraschung fest, dass er wirklich seinen Schatten über Nacht verloren hatte.",[seinen Schatten verlieren/ Über Nacht],[],X,two idioms
"Diese Struktur ist in der gravitätischen Kartierung von 1965 enthalten, doch existiert kein Kommentar dazu.","[""""]",[],X,"no PIE and grammar mistake: , doch (es) existiert kein Kommetar dazu."
"In Irland wurde ein Flugzeug von einem Bewohner der Stadt Dungarvan gemeldet und ein katholischer Priester berichtete von einer Sichtung über dem Dorf Carrigaholt, danach wurden keine weiteren verifizierten Berichte gemacht.","[""""]",[],X,no PIE detected
"Electronic Arts und Image Comics haben eine Comic-Buch-Reihe, basierend auf dem Spiel am 21. Februar 2008 angekündigt.","[""""]",[],X,no PIE detected
"Ein weiterer Aspekt seiner Kreativität zeigte sich ab Mitte der 1920er Jahre, als er, vielleicht beeinflusst von der großen Liebe seines Vaters zur Literatur begann, Theaterstücke und Bücher zu schreiben.",[1920er Jahre / große Liebe],[],X,two idioms
Irn-Bru ist für die leuchtend orange Farbe bekannt.,"[""""]",[],X,no PIE
"In einer detaillierten Aufschlüsselung des gesamten readings berichtet Gerbic, dass Thicke unmittelbar nach den obigen Aussagen scherzte: ""Danke, Doktor Henry, ich werde mir das zu Herzen nehmen"".",['zu  Herzen  nehmen'],['zu  Herzen  nehmen'],X,english word: readings
Wir haben dieses Geschäft von Grund auf aufgebaut.,['von  Grund  auf'],['von  Grund  auf'],X,ambiguous
Unter dem 6. Baronet wurde das Haus von Grund auf modernisiert.,['von  Grund  auf'],['von  Grund  auf'],X,ambiuous
"Pampan wurde von Grund auf aus Lehmziegeln gebaut, um als neues Dorf für viele Opfer des Erdbebens zu dienen.",['von  Grund  auf'],['von  Grund  auf'],X,ambiguous
"Da die 40 Jahre alte Heidemannbrücke zwischen den Bahnhöfen Freimann und Kieferngarten (Nordast der U6) von Grund auf saniert werden musste, war die Strecke zwischen den Bahnhöfen Studentenstadt und Kieferngarten 2013 und 2014 für jeweils 3 Monate unterbrochen.",['von  Grund  auf'],['von  Grund  auf'],X,ambiguous
"Diese Blätter befanden sich, wie in Die Welt von gestern beschrieben, im Besitz von Stefan Zweig und sind heute Eigentum der British Library.",['von  gestern'],['von  gestern'],X,ambiguous
"Ein Teil des Volkes ist der Abweichung heimgefallen und hat diejenigen, die ihnen folgten vom rechten Weg abgebracht.",['vom  rechten  Weg  abgebracht'],['vom  rechten  Weg  abgebracht'],X,ambiguous
Über Nacht blühte die Popularität von Hope und sie wurde ein Hit mit den coolen Mädchen.,['Über  Nacht'],['Über  Nacht'],X,ambiuous
"Später im gleichen Monat, während er auf einer politischen Kundgebung in Uruguay sang, wurden Ochs und sein damaliger Reisebegleiter, David Ifshin, verhaftet und über Nacht festgehalten.",['über  Nacht'],['über  Nacht'],X,ambiguous
Heiliger Strohsack das ist für manchen starker Tobak / Ich komm mit Bildern wie Kodak und bin der Mann für jede Tonart,['starker  Tobak'],['starker  Tobak'],X,"two idioms, second one: Heiliger Strohsack"
"Macrons Behauptung, die Nato sei hirntot, ist starker Tobak. Komatös hätte es wohl auch getan. Aber im Kern hat er recht.",['starker  Tobak'],['starker  Tobak'],X,"two idioms, second one: im Kern"
"„Freund, ein Junge muß sich die Hörner abstoßen.“ „Ganz recht, Herzog; wir haben auch unsere Flegeljahre gehabt. Aber bei meinem Friedemann dauern diese Jahre zu lange. Er ist Soldat gewesen, zählt jetzt vierundzwanzig—nun, bei meiner armen Seele, da kann er sich die Hörner wohl abgestoßen haben.“",['sich  die  Hörner  abstoßen'],['sich  die  Hörner  abstoßen'],X,two idioms: bei meiner armen Seele
"Im Jahr 2007 arbeitete er auch als Produzent, schrieb instrumentale Stücke und veröffentlichte seine Maxi-CD Pour ceux qui dorment les yeux ouverts („Für diejenigen, die mit offenen Augen schlafen“).",['mit  offenen  Augen  schlafen'],['mit  offenen  Augen  schlafen'],X,"ambiguous, also the idiom is part of a name, so it does not have a real meaning."
Angelina Jolie und Brad Pitt sind mit Kind und Kegel in Nizza angekommen.,['mit  Kind  und  Kegel'],['mit  Kind  und  Kegel'],X,ambiguous
Keine zehn Pferde könnten mich dahin kriegen.,['Keine  zehn  Pferde'],['Keine  zehn  Pferde'],X,amiguous
Am 8. November wurden im Gegenzug christliche Kirchen ins Visier genommen.,['ins Visier genommen'],['ins Visier genommen'],X,ambiguous
"Es muß darüber nachgedacht werden, ob nicht zumindest zusätzlich Sperren angezeigt sind, damit der Durchgriff durch die Verfahrensordnung des Gesetzes gegen Wettbewerbsbeschränkungen im Rahmen der Fusionskontrolle auf die mit der endgültigen Entscheidungskompetenz ausgestattete politische Instanz nicht zu früh und nicht zu schnell oder gar vor Einleitung des formalen Verfahrens bereits erfolgt, so daß die Bevölkerung draußen mit großer Ermutigung über die Entschlossenheit, Wettbewerbsbeschränkungen zu bekämpfen, Kartellverfahren und anschließende Streitereien miterlebt, ohne zu wissen, daß der Tatbestand politisch längst in trockenen Tüchern ist.",['in trockenen Tüchern'],['in trockenen Tüchern'],X,It is a real idiom but the sentence is very unreadable and has an error with the tense at the beginning
Unsere besten Männer sind im Feld geblieben.,['im Feld geblieben'],['im Feld geblieben'],X,"Ambiguous as it would only be a clear idiom if there was a context, putting this sentence in a perspective of a war or a fight or something, which is not the case. In any other case it is not clear if this is meant literally or not."
"Und wollt ihr wissen, was davon das Ende ist?",['ihr wissen'],['ihr wissen'],X,Not even a potential idiom
Hinter den Kulissen gab es jedoch Spannungen zwischen Wood und Warner Music.,['Hinter den Kulissen'],['Hinter den Kulissen'],X,“gab es jedoch Spannungen” is also a true idiom
"Hinter den Kulissen dieser nur scheinbar harmlosen Vergnügungseinrichtung laufen schließlich die Fäden zusammen, werden Morde vorbereitet und Informationen ausgetauscht.",['Hinter den Kulissen'],['Hinter den Kulissen'],X,“laufen schliesslich die Fäden zusammen” is also a true idiom
Das Ende der Fahnenstange ist noch lange nicht erreicht.,['Ende der Fahnenstange'],['Ende der Fahnenstange'],X,Ambiguous
"In ihrer Kunst „entdeckten sie ein neues Polen“, das ein für alle Mal durch die Gräueltaten des Zweiten Weltkriegs und die daraus resultierende Schaffung eines kommunistischen Polens verändert war.",['ein für alle Mal'],['ein für alle Mal'],X,The sentence is probably supposed to continue but it just ends in the middle by placing a .
Ich bin um Mitternacht die Ecke wieder da.,['die Ecke'],['die Ecke'],X,Sentence doesn’t make sense
"Der Baum ist bestimmt zwanzig Meter hoch. – Ja, die Ecke.",['die Ecke'],['die Ecke'],X,Sentence doesn’t make sense
"Eine Verbreiterung der Pt-Wagen war 1980 noch nicht möglich, da die ehemalige Straßenbahnstrecke in der Eckenheimer Landstraße zum damaligen Zeitpunkt noch nicht für den Einsatz von 2,65m breiten Fahrzeugen umgebaut worden war.",['der Eckenheimer'],['der Eckenheimer'],X,“der Eckenheimer” is by no extent a PIE. It is just the first part of the name of a street.
"1891, E. Rohmer., Allgemeine Deutsche Biographie: Schulthess, Heinrich Er ließ sich in München nieder und trat zunächst als Mitglied in die Redaction der von dem ihm bei öfteren Besuchen in Deutschland befreundet gewordenen Dr. Karl Brater begründeten und geleiteten „Süddeutschen Zeitung“ ein, „welche damals in täglichem Kampfe den Boden bereiten half für die Einigung Deutschlands unter Preußens Führung“",['den Boden bereiten'],['den Boden bereiten'],X,"Horrible punctuation and ""Redaction"" is an english word"
Darauf wies auch Peter Swarber hin: Die Stadt habe sich bezahlen lassen und dafür eine befristete Sicherheitsgarantie – mit Brief und Siegel – gegeben.,['Brief und Siegel'],['Brief und Siegel'],X,Ambiguous
"Man muss auch gönnen können, zum Beispiel dem anderen die Traumfrau – auch andere Mütter haben schöne Töchter. Setzen Sie ein „Leben und leben lassen“ dagegen, seien Sie cool und gönnerhaft, dann fällt automatisch für Sie auch was ab.",['auch andere Mütter haben schöne Töchter'],['auch andere Mütter haben schöne Töchter'],X,"""leben und leben lassen"" is an Idiom as well."
"Aksel hofft, dass die Wahrheit ans Licht kommt und er endlich von dem alten Verdacht reingewaschen wird.",['ans Licht kommt'],['ans Licht kommt'],X,“reingewaschen wird” is another true idiom
Bist du ans andere Ufer gewechselt?,['andere Ufer'],['andere Ufer'],X,Ambiguous as no context is provided
"Der Serienmörder Ted Bundy entführte 1974 zwei Frauen am helllichten Tag am Strand des Lake Sammamish State Park, indem er eine Verletzung vortäuschte und um ihre Hilfe bat.",['am helllichten Tag'],['am helllichten Tag'],X,Ambiguous
